Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
219,Jake Burger,29,TEX,AL,0.6,84,309,293,36,71,15,0,12,41,1,1,10,74,.242,.275,.416,.691,99,.299,100,122,2,4,0,2,0,3D/H,,burgeja01
220,Josh Lowe*,27,TBR,AL,0.5,76,309,279,40,64,16,1,7,29,12,3,26,69,.229,.295,.369,.665,85,.296,82,103,5,1,1,2,1,9/HD,,lowejo01
221,Mauricio Dubón,30,HOU,AL,1.8,100,307,285,34,75,18,0,6,26,3,0,18,31,.263,.308,.389,.698,92,.303,87,111,9,1,2,1,0,4765H/839,,dubonma01
222,Austin Hays,29,CIN,NL,1.0,74,304,275,47,72,12,5,10,48,4,0,24,78,.262,.319,.451,.770,106,.335,101,124,7,1,0,4,1,D7/H,,haysau01
223,Jordan Westburg,26,BAL,AL,1.7,73,304,283,53,78,9,1,15,34,1,2,15,66,.276,.326,.473,.799,122,.346,126,134,4,6,0,0,0,54D,,westbjo01
224,Dane Myers,29,MIA,NL,0.1,93,302,278,28,66,9,0,6,27,16,5,21,71,.237,.295,.335,.629,74,.289,73,93,10,2,0,1,0,*89H/7,,myersda01
225,Tyrone Taylor,31,NYM,NL,0.6,101,301,275,27,55,13,3,2,19,11,1,13,70,.200,.255,.291,.546,57,.257,57,80,4,8,2,2,1,*8/H97,,tayloty01
226,Iván Herrera,25,STL,NL,1.1,72,299,261,31,75,10,0,10,43,5,1,28,63,.287,.366,.441,.806,127,.364,132,115,14,6,0,3,0,D2/7H,,herreiv01
227,Tyler Freeman,26,COL,NL,-0.7,80,298,260,36,77,17,2,2,24,16,7,27,27,.296,.372,.400,.772,108,.350,111,104,10,7,0,4,0,9DH/457,,freemty01
228,Jacob Young,25,WSN,NL,0.8,95,298,264,27,59,8,1,0,19,13,10,23,47,.223,.293,.261,.554,60,.259,65,69,5,3,8,0,0,*8/HD,,youngja03
229,José Caballero,28,2TM,AL,2.1,96,296,253,42,59,13,1,2,28,39,8,35,83,.233,.332,.316,.648,83,.319,89,80,1,3,4,1,0,6954H/78D1,,cabaljo01
229,José Caballero,28,TBR,AL,1.6,86,275,235,37,53,12,1,2,27,34,8,33,80,.226,.327,.311,.638,81,.310,85,73,1,3,3,1,0,6594H/78D1,,cabaljo01
229,José Caballero,28,NYY,AL,0.4,10,21,18,5,6,1,0,0,1,5,0,2,3,.333,.400,.389,.789,122,.449,156,7,0,0,1,0,0,/9H546,,cabaljo01
230,Chandler Simpson*,24,TBR,AL,-0.1,76,295,275,37,83,10,2,0,18,34,10,15,28,.302,.336,.353,.688,94,.315,92,97,6,0,1,2,0,87/HD9,,simpsch01
231,Ben Williamson,24,SEA,AL,1.2,85,295,277,36,70,13,0,1,21,5,1,15,64,.253,.294,.310,.604,76,.272,75,86,5,1,2,0,0,*5/H,,willibe03
232,Mike Tauchman*,34,CHW,AL,2.0,71,294,255,33,69,14,1,8,33,0,0,36,70,.271,.364,.427,.791,122,.351,126,109,2,2,0,1,0,9D/H,,tauchmi01
233,Matt Wallner*,27,MIN,AL,0.6,79,291,247,35,52,12,3,16,27,0,2,37,85,.211,.323,.478,.801,116,.347,120,118,2,5,0,2,0,9D/H,,wallnma01
234,Spencer Horwitz*,27,PIT,NL,0.4,74,290,262,33,68,17,0,5,34,0,0,26,59,.260,.328,.382,.709,98,.314,96,100,5,1,0,1,1,3/H,,horwisp01
235,Jordan Walker,23,STL,NL,-1.0,81,290,267,30,61,11,1,4,31,7,2,20,90,.228,.286,.322,.608,72,.282,74,86,7,2,0,1,0,9/H,,walkejo02
236,Tyler Stephenson,28,CIN,NL,0.9,72,288,252,32,57,15,0,9,36,0,1,32,99,.226,.313,.393,.705,90,.318,93,99,3,1,0,3,1,2D/H,,stephty01
237,Liam Hicks*,26,MIA,NL,1.0,89,286,243,25,64,11,1,4,37,0,0,31,46,.263,.357,.366,.723,101,.330,104,89,3,6,3,3,0,2H3D,,hicksli01
238,Danny Jansen,30,2TM,2LG,1.9,81,285,242,33,49,9,0,11,30,0,0,36,73,.202,.313,.376,.689,92,.311,97,91,4,4,1,2,0,2/HD,,janseda01
238,Danny Jansen,30,TBR,AL,1.9,73,259,221,28,45,8,0,11,29,0,0,33,68,.204,.314,.389,.703,96,.313,98,86,4,3,1,1,0,2/H,,janseda01
238,Danny Jansen,30,MIL,NL,0.1,8,26,21,5,4,1,0,0,1,0,0,3,5,.190,.308,.238,.546,57,.296,84,5,0,1,0,1,0,/2DH,,janseda01
239,Edgar Quero#,22,CHW,AL,1.5,79,284,255,20,71,14,0,4,30,0,1,24,50,.278,.345,.380,.725,104,.320,106,97,4,3,0,2,0,2HD,,queroed01
240,Trey Sweeney*,25,DET,AL,-0.3,94,282,254,34,53,6,2,6,31,3,1,24,74,.209,.273,.319,.592,64,.267,62,81,2,0,0,4,0,*6H,,sweentr01
241,Abraham Toro#,28,BOS,AL,-0.2,76,279,254,33,62,13,0,7,27,2,1,14,40,.244,.294,.378,.672,86,.305,91,96,0,6,0,5,1,35/H1,,toroab01
242,Nolan Gorman*,25,STL,NL,0.4,80,278,240,38,54,9,1,12,38,1,1,35,83,.225,.320,.421,.741,108,.325,107,101,1,0,0,3,1,54D/H3,,gormano01
243,Jose Iglesias,35,SDP,NL,-0.4,91,276,243,25,56,9,0,1,28,4,1,22,45,.230,.308,.280,.588,65,.290,76,68,4,6,3,2,0,4H65D/7,,iglesjo01
244,Miguel Andujar,30,2TM,2LG,0.5,73,275,257,30,79,12,1,9,36,1,0,15,39,.307,.345,.467,.812,122,.350,121,120,5,1,0,2,1,57D/H93,,andujmi01
244,Miguel Andujar,30,ATH,AL,0.1,60,231,218,22,65,10,1,6,27,1,0,11,30,.298,.329,.436,.765,110,.330,108,95,5,0,0,2,1,57/H9D3,,andujmi01
244,Miguel Andujar,30,CIN,NL,0.4,13,44,39,8,14,2,0,3,9,0,0,4,9,.359,.432,.641,1.073,186,.456,189,25,0,1,0,0,0,/D7H3,,andujmi01
245,Connor Norby,25,MIA,NL,0.2,72,273,253,33,61,11,1,6,26,7,2,14,73,.241,.289,.364,.653,80,.307,86,92,2,4,0,2,0,5/HD,,norbyco01
246,JJ Bleday*,27,ATH,AL,-0.1,72,272,239,36,51,12,0,10,29,1,2,32,67,.213,.305,.389,.694,91,.301,89,93,5,0,0,1,2,87H/9D,,bledajj01
247,Joey Bart,28,PIT,NL,0.2,73,268,230,16,56,9,1,2,21,1,0,34,73,.243,.351,.317,.668,90,.314,95,73,13,4,0,0,0,2/HD,,bartjo01
248,Keibert Ruiz#,26,WSN,NL,0.7,68,267,255,19,63,12,0,2,25,0,2,8,26,.247,.277,.318,.595,69,.272,73,81,4,3,0,1,0,2/H,,ruizke01
249,Pavin Smith*,29,ARI,NL,0.7,80,266,224,33,58,15,1,8,28,2,2,40,84,.259,.368,.442,.810,124,.356,125,99,7,0,0,2,1,D3H,,smithpa04
250,Alex Call,30,2TM,NL,0.9,85,265,220,34,58,10,2,3,26,2,1,30,42,.264,.363,.368,.731,109,.336,116,81,6,6,6,3,0,97H/8D,,callal02
250,Alex Call,30,WSN,NL,1.0,72,237,197,30,54,9,2,3,26,1,1,26,36,.274,.371,.386,.756,117,.345,124,76,5,6,5,3,0,97H/D8,,callal02
250,Alex Call,30,LAD,NL,-0.1,13,28,23,4,4,1,0,0,0,1,0,4,6,.174,.296,.217,.514,48,.256,46,5,1,0,1,0,0,7/H98,,callal02
251,Kody Clemens*,29,2TM,2LG,0.6,85,265,237,31,50,10,3,13,38,1,1,21,60,.211,.284,.443,.727,95,.307,89,105,4,4,1,2,1,43H7/918D,,clemeko01
251,Kody Clemens*,29,PHI,NL,-0.1,7,7,6,0,0,0,0,0,0,0,0,1,0,.000,.143,.000,.143,-56,.100,-62,0,0,0,0,0,0,/H47D,,clemeko01
251,Kody Clemens*,29,MIN,AL,0.7,78,258,231,31,50,10,3,13,38,1,1,20,60,.216,.288,.455,.742,99,.312,93,105,4,4,1,2,1,43/79H18,,clemeko01
252,Nick Gonzales,26,PIT,NL,0.1,62,264,245,26,68,9,2,5,19,0,2,16,45,.278,.322,.392,.714,99,.313,98,96,7,1,0,2,0,4/6,,gonzani01
253,Kristian Campbell,23,BOS,AL,-0.9,67,263,229,24,51,10,0,6,21,2,1,29,72,.223,.319,.345,.664,86,.300,87,79,1,4,0,1,0,4/8H7D,,campbkr01
254,Kyle Farmer,34,COL,NL,-0.9,82,262,243,21,56,14,0,6,26,0,1,14,55,.230,.282,.362,.645,72,.286,68,88,8,4,0,1,0,4D36H/51,,farmeky01
255,Ronald Acuña Jr.,27,ATL,NL,2.5,59,257,213,50,64,10,1,14,27,4,1,44,68,.300,.420,.554,.974,172,.417,170,118,2,0,0,0,3,9/H,AS,acunaro01
256,Royce Lewis,26,MIN,AL,0.3,69,257,233,24,53,14,0,6,28,1,0,22,40,.227,.292,.365,.657,79,.293,78,85,6,0,0,2,0,5/DH,,lewisro02
257,Andrés Giménez*,26,TOR,AL,1.2,68,256,227,29,51,7,0,5,23,10,1,18,44,.225,.306,.322,.627,74,.296,77,73,3,9,1,1,0,4/H6,,gimenan01
258,Javier Sanoja,22,MIA,NL,0.7,92,256,232,31,55,14,3,4,24,3,5,15,34,.237,.282,.375,.657,80,.292,82,87,1,1,4,4,0,547H86/13D,,sanojja01
259,Freddy Fermin,30,2TM,2LG,1.7,80,256,236,20,63,8,0,4,17,1,2,15,41,.267,.316,.352,.668,87,.293,85,83,3,2,3,0,1,2/HD4,,fermifr01
259,Freddy Fermin,30,KCR,AL,1.2,67,208,192,17,49,7,0,3,12,1,2,13,37,.255,.309,.339,.648,82,.284,79,65,2,2,1,0,1,2/HD4,,fermifr01
259,Freddy Fermin,30,SDP,NL,0.5,13,48,44,3,14,1,0,1,5,0,0,2,4,.318,.348,.409,.757,110,.333,108,18,1,0,2,0,0,2/H,,fermifr01
260,Michael A. Taylor,34,CHW,AL,0.6,105,254,228,28,49,18,1,8,28,7,3,21,83,.215,.282,.408,.690,91,.294,84,93,6,1,2,2,1,*798H/D,,taylomi02
261,Brayan Rocchio#,24,CLE,AL,-0.1,77,250,224,20,53,14,1,3,31,6,4,11,52,.237,.289,.348,.637,75,.275,69,78,3,7,4,4,0,64/H,,rocchbr01
262,Myles Straw,30,TOR,AL,2.0,104,250,225,40,59,11,0,4,27,9,1,13,41,.262,.304,.364,.669,84,.307,85,82,5,1,10,1,0,*8H7/94,,strawmy01
263,Elias Díaz,34,SDP,NL,-0.4,90,246,221,27,44,7,0,5,22,0,0,20,65,.199,.269,.299,.567,58,.257,53,66,8,1,4,0,0,*2H,,diazel01
264,Eli White,31,ATL,NL,0.4,89,246,232,36,54,8,3,7,28,8,1,10,63,.233,.269,.384,.653,81,.300,83,89,2,2,1,1,1,97H/D8,,whiteel04
265,Ezequiel Tovar,23,COL,NL,1.5,58,245,230,32,63,16,2,7,22,4,2,11,57,.274,.310,.452,.762,101,.336,102,104,2,1,3,0,0,6,,tovarez01
266,Wenceel Pérez#,25,DET,AL,0.9,66,243,218,36,58,10,4,10,28,7,2,19,48,.266,.329,.486,.815,123,.347,119,106,2,3,0,3,0,98/H7D,,perezwe01
267,Christopher Morel,26,TBR,AL,-0.6,84,242,222,32,46,12,0,9,22,6,2,18,88,.207,.273,.383,.656,81,.295,84,85,5,2,0,0,0,7H/D9,,morelch01
268,LaMonte Wade Jr.*,31,2TM,2LG,-1.8,80,242,209,19,35,8,2,2,18,1,0,27,58,.167,.271,.254,.524,52,.247,54,53,2,3,2,1,1,39H/D7,,wadela01
268,LaMonte Wade Jr.*,31,SFG,NL,-1.1,50,169,144,12,24,8,2,1,15,0,0,21,35,.167,.275,.271,.546,60,.256,63,39,2,1,2,1,1,3/HD,,wadela01
268,LaMonte Wade Jr.*,31,LAA,AL,-0.7,30,73,65,7,11,0,0,1,3,1,0,6,23,.169,.260,.215,.476,35,.228,32,14,0,2,0,0,0,9/H37,,wadela01
269,Rowdy Tellez*,30,2TM,AL,-0.7,83,241,223,26,50,9,0,13,36,1,0,13,62,.224,.270,.439,.709,101,.305,101,98,7,2,0,3,0,3H/D1,,tellero01
269,Rowdy Tellez*,30,SEA,AL,-0.8,62,185,173,20,36,6,0,11,27,1,0,8,49,.208,.249,.434,.682,93,.289,89,75,6,2,0,2,0,3/HD,,tellero01
269,Rowdy Tellez*,30,TEX,AL,0.1,21,56,50,6,14,3,0,2,9,0,0,5,13,.280,.339,.460,.799,131,.355,140,23,1,0,0,1,0,3/HD1,,tellero01
270,Roman Anthony*,21,BOS,AL,2.2,57,240,200,38,56,17,1,4,23,4,1,35,63,.280,.400,.435,.835,133,.370,138,87,1,5,0,0,0,97D/H,,anthoro01
271,Kyle Higashioka,35,TEX,AL,1.3,68,239,223,24,57,10,1,8,33,3,0,13,49,.256,.301,.417,.718,108,.313,107,93,3,2,0,1,0,2D/H,,higasky01
272,Ryan Mountcastle,28,BAL,AL,0.5,61,238,221,23,57,14,0,4,19,3,0,10,55,.258,.294,.376,.670,88,.317,101,83,6,3,0,4,0,3D/H,,mountry01
273,Tyler Fitzgerald,27,SFG,NL,1.0,69,237,212,19,47,10,1,4,14,9,4,16,68,.222,.281,.335,.616,78,.281,81,71,3,2,6,1,0,4/H9,,fitzgty01
274,Jose Trevino,32,CIN,NL,0.5,70,237,219,26,56,19,0,4,19,0,0,13,28,.256,.292,.397,.690,85,.302,80,87,7,0,1,4,0,2/D1H,,trevijo01
275,Randal Grichuk,33,2TM,2LG,-0.2,86,234,215,31,52,18,1,8,25,0,1,15,48,.242,.291,.447,.737,101,.319,100,96,6,1,0,3,1,DH9/78,,grichra01
275,Randal Grichuk,33,ARI,NL,-0.4,70,188,175,25,42,15,1,7,22,0,1,10,39,.240,.277,.457,.734,99,.317,97,80,5,0,0,3,1,DH9/78,,grichra01
275,Randal Grichuk,33,KCR,AL,0.2,16,46,40,6,10,3,0,1,3,0,0,5,9,.250,.348,.400,.748,109,.327,108,16,1,1,0,0,0,9/HD7,,grichra01
276,Starling Marte,36,NYM,NL,0.9,71,233,204,25,57,11,0,6,23,5,2,17,41,.279,.353,.422,.775,122,.345,124,86,3,8,1,3,0,DH/79,,martest01
277,Brooks Baldwin#,24,CHW,AL,-0.1,74,232,210,20,50,10,0,8,27,4,0,15,63,.238,.289,.400,.689,91,.304,89,84,7,1,4,2,0,78H5946,,baldwbr01
278,Romy González,28,BOS,AL,1.3,67,230,214,34,62,19,3,8,39,5,3,11,60,.290,.326,.519,.845,130,.367,137,111,3,2,0,3,1,34H/5D,,gonzaro01
279,Mitch Garver,34,SEA,AL,0.3,66,228,200,21,44,5,0,8,26,3,0,25,71,.220,.311,.365,.676,96,.300,95,73,4,2,0,1,1,2DH,,garvemi01
280,Colton Cowser*,25,BAL,AL,0.9,58,225,207,23,43,10,0,9,22,6,0,13,73,.208,.271,.386,.658,83,.292,80,80,4,5,0,0,0,78/9HD,,cowseco01
281,Luis Torrens,29,NYM,NL,1.0,75,225,206,10,44,10,1,2,16,0,0,18,50,.214,.280,.301,.581,68,.267,70,62,6,1,0,0,0,2/HD13,,torrelu01
282,Daylen Lile*,22,WSN,NL,-0.8,59,223,205,29,53,12,4,3,21,5,4,11,38,.259,.302,.400,.702,98,.313,103,82,4,3,0,3,0,9/7H,,lileda01
283,Casey Schmitt,26,SFG,NL,1.0,62,222,199,21,50,10,0,7,24,0,0,18,51,.251,.326,.407,.733,112,.328,115,81,4,4,1,0,0,453/H6D,,schmica01
284,Jared Triolo,27,PIT,NL,0.6,71,221,190,21,36,9,0,3,13,8,1,26,41,.189,.289,.284,.573,62,.282,69,54,4,1,3,1,1,6354/H1D,,triolja01
285,Drew Waters#,26,KCR,AL,-0.4,71,219,206,21,50,6,3,1,14,5,3,11,60,.243,.288,.316,.603,69,.281,76,65,2,2,0,0,0,789/HD,,waterdr01
286,Kameron Misner*,27,TBR,AL,0.6,71,217,197,27,42,9,1,5,22,8,1,16,69,.213,.273,.345,.618,72,.279,69,68,1,1,1,2,0,89/7HD,,misneka01
287,Noelvi Marté,23,CIN,NL,1.3,56,213,201,28,60,13,1,9,37,7,3,8,41,.299,.333,.507,.841,124,.374,131,102,3,3,0,1,0,59/HD,,marteno01
288,Max Muncy,22,ATH,AL,0.1,59,213,200,17,43,7,0,9,23,1,1,9,65,.215,.258,.385,.643,75,.278,71,77,1,3,0,1,0,54/6H,,muncyma02
289,Alex Verdugo*,29,ATL,NL,-0.2,56,213,197,21,47,10,0,0,12,1,0,14,31,.239,.296,.289,.585,66,.270,65,57,1,2,0,0,0,7/H,,verdual01
290,Josh Rojas*,31,CHW,AL,-1.5,69,211,189,14,34,9,0,2,11,4,1,19,48,.180,.252,.259,.512,45,.246,48,49,6,0,1,2,0,54/7H,,rojasjo01
291,Edmundo Sosa,29,PHI,NL,1.3,72,211,195,23,51,9,1,6,27,1,1,9,48,.262,.300,.410,.710,92,.315,92,80,4,2,3,1,0,54H/678D,,sosaed01
292,Henry Davis,25,PIT,NL,0.7,65,210,185,20,32,6,0,5,16,0,1,15,53,.173,.248,.286,.534,49,.248,50,53,0,4,2,2,0,2/H,,davishe01
293,Francisco Alvarez,23,NYM,NL,1.6,56,209,185,24,49,9,1,7,24,0,0,22,54,.265,.349,.438,.787,125,.355,131,81,5,2,0,0,0,2/H,,alvarfr01
294,Michael Massey*,27,KCR,AL,-0.9,56,209,198,10,40,5,0,2,14,1,0,5,32,.202,.221,.258,.479,34,.208,20,51,3,1,1,4,0,4/7DH,,massemi02
295,Jurickson Profar#,32,ATL,NL,0.7,45,209,180,33,46,9,1,9,26,6,0,27,34,.256,.359,.467,.826,130,.373,134,84,2,2,0,0,0,7,,profaju01
296,Anthony Santander#,30,TOR,AL,-0.9,50,209,184,14,33,5,0,6,18,0,0,24,55,.179,.273,.304,.577,60,.257,54,56,6,0,0,1,1,D9/7H3,,santaan02
297,Cole Young*,21,SEA,AL,1.3,59,209,182,22,45,7,1,4,23,1,0,22,37,.247,.333,.363,.696,102,.308,102,66,3,2,2,1,1,4/H,,youngco01
298,Evan Carter*,22,TEX,AL,2.0,60,208,185,30,47,9,2,5,25,13,2,18,40,.254,.337,.405,.742,116,.337,119,75,2,5,0,0,1,8/HD,,carteev01
299,Dylan Moore,32,SEA,AL,0.4,86,208,188,28,37,5,0,9,19,12,4,18,74,.197,.264,.367,.631,81,.287,85,69,1,0,0,2,0,H4935/6D8,,mooredy01
300,Miguel Rojas,36,LAD,NL,0.7,81,207,190,23,46,9,0,6,14,2,0,16,31,.242,.301,.384,.685,91,.303,87,73,6,0,1,0,0,465H/13,,rojasmi02
301,Will Benson*,27,CIN,NL,0.5,62,203,184,26,41,6,1,9,32,2,2,13,57,.223,.271,.413,.684,82,.294,76,76,4,1,0,5,1,97/H8,,bensowi01
302,José Herrera#,28,ARI,NL,0.0,56,201,163,21,31,6,0,2,17,0,0,23,47,.190,.289,.264,.553,55,.258,51,43,2,1,11,3,0,2/1,,herrejo04
303,Joc Pederson*,33,TEX,AL,-0.7,66,200,169,15,25,6,1,4,9,2,0,26,41,.148,.276,.266,.543,61,.254,64,45,4,4,0,0,0,DH/39,,pederjo01
304,Christian Vázquez,34,MIN,AL,-0.1,61,199,178,12,31,7,0,2,13,0,1,16,33,.174,.251,.247,.498,38,.239,41,44,3,3,0,2,0,2/H,,vazquch01
305,Dominic Canzone*,27,SEA,AL,1.0,59,198,180,19,52,9,0,7,20,2,1,15,40,.289,.348,.456,.804,131,.347,132,82,3,2,0,1,0,9/HD,,canzodo01
306,Gio Urshela,33,ATH,AL,-0.9,59,197,181,10,43,14,1,0,20,0,1,13,40,.238,.287,.326,.613,70,.271,67,59,6,0,2,1,0,5/3DH,,urshegi01
307,Travis d'Arnaud,36,LAA,AL,-0.1,58,195,178,15,37,10,0,6,18,0,0,13,62,.208,.272,.365,.637,76,.277,71,65,4,3,0,1,0,2/HD,,darnatr01
308,Yoán Moncada#,30,LAA,AL,0.1,56,194,168,27,40,8,1,8,27,0,0,21,50,.238,.335,.440,.776,114,.340,117,74,2,4,0,1,0,5/H,,moncayo01
309,Jake Fraley*,30,CIN,NL,0.4,67,193,168,29,39,8,0,6,23,4,2,24,41,.232,.332,.387,.719,95,.325,96,65,1,1,0,0,1,9H/7D,,fraleja01
310,Matt Thaiss*,30,2TM,AL,1.1,60,190,156,16,34,6,1,1,16,1,1,29,46,.218,.349,.288,.638,83,.299,89,45,2,3,1,1,0,2/H3D,,thaisma01
310,Matt Thaiss*,30,CHW,AL,1.0,35,110,85,11,18,4,0,1,8,1,1,23,21,.212,.382,.294,.676,95,.324,109,25,2,1,0,1,0,2/H3D,,thaisma01
310,Matt Thaiss*,30,TBR,AL,0.1,25,80,71,5,16,2,1,0,8,0,0,6,25,.225,.304,.282,.585,66,.266,63,20,0,2,1,0,0,2/3H,,thaisma01
311,Alexander Canario,25,PIT,NL,0.0,64,189,173,21,34,5,1,3,14,3,1,16,61,.197,.265,.289,.554,55,.262,58,50,3,0,0,0,0,789/HD,,canaral01
312,Dylan Crews,23,WSN,NL,0.4,49,189,172,26,34,3,1,7,17,12,3,13,51,.198,.270,.349,.619,75,.285,75,60,0,4,0,0,0,98/D,,crewsdy01
313,Riley Adams,29,WSN,NL,0.7,56,188,174,21,35,7,0,7,17,1,0,13,72,.201,.261,.362,.623,76,.280,76,63,6,1,0,0,0,2/H3,,adamsri03
314,Gabriel Moreno,25,ARI,NL,0.6,53,188,174,29,47,8,1,5,20,1,1,13,32,.270,.324,.414,.738,103,.321,99,72,4,1,0,0,0,2/H,,morenga01
315,Dylan Carlson#,26,BAL,AL,-1.0,64,186,173,15,35,4,1,6,19,3,3,10,42,.202,.253,.341,.594,66,.259,64,59,3,2,0,1,0,798/H,,carlsdy01
316,Kiké Hernández,33,LAD,NL,0.2,71,186,169,23,33,5,0,8,22,0,0,15,48,.195,.259,.367,.626,73,.285,76,62,6,0,1,1,0,374H5/81D,,hernaen02
317,Sam Haggerty#,31,TEX,AL,0.8,64,182,162,31,41,7,3,2,13,12,4,16,37,.253,.328,.370,.698,104,.334,122,60,1,2,1,0,1,H78D/49,,haggesa01
318,Max Schuemann,28,ATH,AL,0.4,87,182,155,18,31,4,2,2,11,7,1,19,31,.200,.302,.290,.592,66,.285,70,45,6,4,3,1,0,45H6/879D,,schuema01
319,Oswald Peraza,25,2TM,AL,-0.2,79,181,169,18,26,5,0,3,13,3,0,11,49,.154,.210,.237,.447,25,.211,19,40,3,1,0,0,0,54H/6D,,perazos02
319,Oswald Peraza,25,NYY,AL,-0.2,71,170,158,18,24,5,0,3,13,3,0,11,47,.152,.212,.241,.452,26,.215,22,38,3,1,0,0,0,54/H6D,,perazos02
319,Oswald Peraza,25,LAA,AL,0.0,8,11,11,0,2,0,0,0,0,0,0,0,2,.182,.182,.182,.364,2,.144,-26,2,0,0,0,0,0,/5H,,perazos02
320,Leody Taveras#,26,2TM,AL,-0.7,58,180,171,13,35,6,1,3,17,9,3,5,50,.205,.226,.304,.530,53,.237,49,52,0,0,3,1,0,89/H,,taverle01
320,Leody Taveras#,26,TEX,AL,0.0,30,82,79,7,19,3,1,1,8,6,1,2,23,.241,.259,.342,.601,74,.268,68,27,0,0,1,0,0,8/H,,taverle01
320,Leody Taveras#,26,SEA,AL,-0.7,28,98,92,6,16,3,0,2,9,3,2,3,27,.174,.198,.272,.470,35,.210,32,25,0,0,2,1,0,9/8H,,taverle01
321,Brady House,22,WSN,NL,-0.8,45,176,168,15,40,7,0,2,19,4,1,5,46,.238,.256,.315,.571,62,.252,55,53,5,0,0,3,0,5/H,,housebr01
322,Luisangel Acuña,23,NYM,NL,0.2,79,175,159,26,38,7,0,0,7,12,1,11,34,.239,.295,.283,.578,68,.274,64,45,6,2,2,1,0,4H/658,,acunajo01
323,Donovan Solano,37,SEA,AL,0.1,67,173,160,10,41,4,1,3,21,0,0,8,36,.256,.301,.350,.651,88,.290,90,56,9,3,0,2,0,3H/5,,solando01
324,Tim Tawa,26,ARI,NL,0.4,59,173,155,21,31,6,0,6,14,7,2,13,47,.200,.262,.355,.616,69,.282,68,55,4,1,1,3,0,48H3/759,,tawati01
325,Miles Mastrobuoni*,29,SEA,AL,0.1,75,172,149,20,37,3,0,1,12,6,3,17,28,.248,.323,.289,.612,80,.277,80,43,2,0,5,1,0,H5497/1D,,mastrmi01
326,Johan Rojas,24,PHI,NL,0.6,71,172,152,23,34,3,2,1,18,12,2,13,40,.224,.280,.289,.569,56,.272,52,44,2,0,4,3,0,8H/D,,rojasjo03
327,Curtis Mead,24,2TM,AL,0.5,61,172,151,16,36,2,1,3,14,5,1,15,44,.238,.326,.325,.650,84,.302,87,49,4,5,0,1,0,34H5/D,,meadcu01
327,Curtis Mead,24,TBR,AL,0.4,49,132,115,14,26,2,1,3,8,4,1,12,33,.226,.318,.339,.657,85,.305,89,39,4,4,0,1,0,34H/5D,,meadcu01
327,Curtis Mead,24,CHW,AL,0.2,12,40,36,2,10,0,0,0,6,1,0,3,11,.278,.350,.278,.628,81,.293,80,10,0,1,0,0,0,/35HD,,meadcu01
328,Luke Raley*,30,SEA,AL,0.1,50,171,142,19,31,6,0,4,18,2,1,17,47,.218,.341,.345,.686,100,.319,111,49,2,10,1,1,0,93/HD87,,raleylu01
329,Nick Fortes,28,2TM,2LG,0.2,71,170,153,13,33,6,1,3,13,1,0,9,29,.216,.280,.327,.607,68,.271,62,50,4,5,2,1,0,2/HD,,forteni01
329,Nick Fortes,28,MIA,NL,0.4,59,141,129,11,31,6,1,2,10,0,0,7,22,.240,.288,.349,.637,75,.279,68,45,4,2,2,1,0,2/HD,,forteni01
329,Nick Fortes,28,TBR,AL,-0.2,12,29,24,2,2,0,0,1,3,1,0,2,7,.083,.241,.208,.450,28,.230,32,5,0,3,0,0,0,2,,forteni01
330,José Tena*,24,WSN,NL,0.4,50,169,152,19,37,13,2,0,16,3,1,15,37,.243,.314,.355,.669,91,.298,88,54,4,1,0,1,0,5/4HD,,tenajo01
331,Coby Mayo,23,BAL,AL,-0.3,51,168,152,17,31,9,0,5,19,1,0,15,44,.204,.280,.362,.642,80,.283,77,55,2,1,0,0,0,3/DH5,,mayoco01
332,Heriberto Hernández,25,MIA,NL,0.3,52,167,153,22,42,7,0,7,27,0,0,13,48,.275,.329,.458,.787,115,.342,113,70,2,0,0,1,0,7D9/H,,hernahe01
333,Heston Kjerstad*,26,BAL,AL,-1.7,54,167,156,16,30,5,2,4,19,1,0,6,45,.192,.240,.327,.566,58,.253,55,51,9,4,0,1,0,79/HD,,kjershe01
334,Thairo Estrada,29,COL,NL,-0.5,39,165,154,14,39,9,0,3,21,1,3,6,26,.253,.285,.370,.655,74,.287,73,57,6,2,0,3,0,4,,estrath01
335,Orlando Arcia,30,2TM,NL,-1.3,59,165,158,8,30,3,1,3,9,0,0,7,36,.190,.224,.278,.503,35,.234,32,44,3,0,0,0,0,654/3DH,,arciaor01
335,Orlando Arcia,30,ATL,NL,-0.1,14,32,31,1,6,1,0,0,1,0,0,1,8,.194,.219,.226,.445,26,.230,38,7,0,0,0,0,0,6/DH,,arciaor01
335,Orlando Arcia,30,COL,NL,-1.2,45,133,127,7,24,2,1,3,8,0,0,6,28,.189,.226,.291,.517,38,.235,30,37,3,0,0,0,0,546/3DH,,arciaor01
336,Amed Rosario,29,2TM,2LG,0.3,50,165,155,19,43,9,0,5,19,1,0,7,23,.277,.315,.432,.747,111,.331,112,67,5,2,0,1,0,54H/9D16,,rosaram01
