Rk,Name,Age,Tm,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru,Name-additional
38,Gabriel Arias,24,CLE,161,578,3.59,409,70.8%,13.9%,33.0%,28.4%,24.7%,86.1%,0.0%,60.9%,61.6%,52.8%,1.9%,3,1,7.5%,12,7,2.5%,4,3,5,48,9.4%,0,0,0,ariasga01
39,Randy Arozarena,29,TOT,650,2774,4.27,1699,61.2%,33.1%,19.8%,24.4%,22.6%,66.9%,0.0%,41.0%,70.3%,25.8%,5.1%,33,7,13.7%,89,24,9.8%,64,37,49,120,29.0%,0,0,0,arozara01
40,Randy Arozarena,29,TBR,411,1742,4.24,1068,61.2%,30.8%,21.1%,24.5%,23.6%,69.2%,0.0%,42.4%,69.6%,26.3%,5.8%,24,3,14.8%,61,18,9.5%,39,26,23,78,22.8%,0,0,0,arozara01
41,Randy Arozarena,29,SEA,239,1032,4.32,631,61.1%,37.1%,17.7%,24.2%,20.9%,62.9%,0.0%,38.5%,71.8%,25.1%,3.8%,9,4,11.7%,28,6,10.5%,25,11,26,42,38.2%,0,0,0,arozara01
42,Luis Arráez*,27,TOT,672,2416,3.60,1680,69.1%,28.5%,4.9%,30.2%,36.4%,71.5%,0.0%,49.8%,93.1%,19.9%,3.7%,25,1,10.4%,70,25,7.0%,47,29,3,26,10.3%,0,0,0,arraelu01
43,Luis Arráez*,27,MIA,148,534,3.61,356,66.5%,28.9%,6.5%,28.9%,35.7%,71.1%,0.0%,47.4%,90.9%,20.9%,4.7%,7,1,12.8%,19,4,9.5%,14,8,1,10,9.1%,0,0,0,arraelu01
44,Luis Arráez*,27,SDP,524,1882,3.59,1324,69.9%,28.3%,4.5%,30.6%,36.6%,71.7%,0.0%,50.4%,93.7%,19.7%,3.4%,18,0,9.7%,51,21,6.3%,33,21,2,16,11.1%,0,0,0,arraelu01
45,José Azocar,28,SDP,79,291,3.68,210,71.9%,13.3%,25.7%,34.8%,26.2%,86.7%,0.0%,62.5%,70.3%,51.9%,2.5%,2,0,7.6%,6,3,5.1%,4,2,4,15,21.1%,0,0,0,azocajo01
46,Akil Baddoo*,25,DET,82,318,3.88,206,64.8%,25.7%,25.7%,25.7%,22.8%,74.3%,0.0%,48.1%,65.4%,31.7%,4.9%,4,0,17.1%,14,8,9.8%,8,3,3,24,11.1%,0,0,0,baddoak01
47,Harrison Bader,30,NYM,437,1647,3.77,1096,66.3%,29.9%,17.2%,24.3%,28.6%,70.0%,0.0%,46.6%,75.4%,26.3%,4.6%,20,1,13.0%,57,17,8.9%,39,24,15,79,16.0%,0,0,0,baderha01
48,Ji Hwan Bae*,24,PIT,81,313,3.86,194,62.0%,22.2%,24.7%,26.8%,26.3%,77.8%,0.0%,48.2%,68.2%,43.2%,1.2%,1,0,8.6%,7,4,11.1%,9,5,4,20,16.7%,0,0,0,baeji01
49,Javier Báez,31,DET,289,1028,3.56,706,68.3%,23.5%,23.1%,24.1%,29.2%,76.3%,0.0%,52.4%,69.6%,33.2%,2.8%,8,2,9.0%,26,16,5.2%,15,11,12,57,17.4%,0,0,0,baezja01
50,Patrick Bailey#,25,SFG,448,1787,3.99,1127,63.0%,23.7%,17.8%,31.1%,27.4%,76.3%,0.0%,48.1%,76.6%,41.3%,3.6%,16,3,13.6%,61,29,10.5%,47,27,31,69,31.0%,0,0,0,bailepa01
51,Darren Baker*,25,WSN,14,39,2.79,33,84.6%,36.4%,18.2%,12.1%,33.3%,63.6%,0.0%,53.8%,71.4%,28.6%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,3,0.0%,0,0,0,bakerda02
52,Luken Baker,27,STL,50,201,4.02,125,62.2%,27.2%,24.0%,24.0%,24.8%,72.8%,0.0%,45.3%,67.0%,26.0%,6.0%,3,1,14.0%,7,1,8.0%,4,2,3,8,27.3%,0,0,0,bakerlu01
53,Brooks Baldwin#,23,CHW,122,426,3.49,297,69.7%,17.5%,20.5%,33.7%,28.3%,82.5%,0.0%,57.5%,75.1%,52.5%,2.5%,3,0,8.2%,10,5,4.9%,6,3,6,25,19.4%,0,0,0,baldwbr01
54,David Bañuelos,27,BAL,1,2,2.00,1,50.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,50.0%,100.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0,banueda01
55,Addison Barger*,24,TOR,225,863,3.84,576,66.7%,30.9%,19.1%,24.0%,26.0%,69.1%,0.0%,46.1%,72.4%,30.2%,4.0%,9,0,10.7%,24,8,8.9%,20,7,19,41,31.7%,0,0,0,bargead01
56,Austin Barnes,34,LAD,156,593,3.80,379,63.9%,25.9%,16.9%,29.3%,28.0%,74.1%,0.0%,47.4%,77.2%,32.1%,3.2%,5,2,12.8%,20,13,7.1%,11,6,12,24,33.3%,0,0,0,barneau01
57,Tucker Barnhart*,33,ARI,96,375,3.91,231,61.6%,34.6%,19.5%,23.4%,22.5%,65.4%,0.0%,40.3%,70.2%,32.3%,2.1%,2,0,11.5%,11,4,6.3%,6,2,15,16,48.4%,0,0,0,barnhtu01
58,Jorge Barrosa#,23,ARI,18,62,3.44,44,71.0%,22.7%,11.4%,29.5%,36.4%,77.3%,0.0%,54.8%,85.3%,16.7%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,2,0.0%,0,0,0,barrojo01
59,Joey Bart,27,PIT,283,1127,3.98,712,62.9%,30.8%,18.1%,25.6%,25.4%,69.1%,0.0%,43.7%,73.6%,29.0%,2.8%,8,0,10.6%,30,14,7.4%,21,14,29,44,39.7%,0,0,0,bartjo01
60,Matthew Batten,29,SDP,3,11,3.67,7,63.6%,42.9%,14.3%,0.0%,42.9%,57.1%,0.0%,36.4%,75.0%,0.0%,0.0%,0,0,33.3%,1,0,0.0%,0,0,0,0,,0,0,0,battema01
61,Brett Baty*,24,NYM,171,676,3.95,452,66.4%,23.9%,19.9%,31.4%,24.8%,76.1%,0.0%,50.9%,73.8%,29.2%,1.8%,3,0,14.6%,25,20,5.8%,10,6,10,32,23.8%,0,0,0,batybr01
62,Jake Bauers*,28,MIL,349,1512,4.33,948,62.5%,26.9%,21.3%,32.4%,19.4%,73.1%,0.0%,45.8%,70.9%,37.5%,4.3%,15,1,14.9%,52,18,11.2%,39,21,26,92,22.0%,0,0,0,bauerja01
63,Jordan Beck,23,COL,184,659,3.58,454,68.5%,22.2%,27.1%,27.3%,23.3%,77.8%,0.0%,53.6%,65.2%,38.6%,4.9%,9,1,12.5%,23,12,6.5%,12,6,12,53,18.5%,0,0,0,beckjo01
64,Josh Bell#,31,TOT,604,2238,3.71,1378,61.5%,20.7%,21.2%,27.2%,30.9%,79.3%,0.0%,48.8%,73.3%,36.9%,5.5%,33,13,13.4%,81,35,9.4%,57,35,28,92,23.3%,0,0,0,belljo02
65,Josh Bell#,31,MIA,442,1628,3.68,1011,61.9%,18.9%,22.2%,27.9%,31.1%,81.1%,0.0%,50.4%,72.7%,40.5%,5.0%,22,10,12.9%,57,25,8.8%,39,25,17,71,19.3%,0,0,0,belljo02
66,Josh Bell#,31,ARI,162,610,3.77,367,60.2%,25.6%,18.5%,25.3%,30.5%,74.4%,0.0%,44.8%,75.1%,27.2%,6.8%,11,3,14.8%,24,10,11.1%,18,10,11,21,34.4%,0,0,0,belljo02
67,Cody Bellinger*,28,CHC,570,2083,3.65,1372,65.1%,24.3%,16.8%,27.4%,31.5%,75.7%,0.0%,49.8%,77.8%,32.3%,6.0%,34,8,15.6%,89,26,9.5%,54,25,15,74,16.9%,0,0,0,bellico01
68,Andrew Benintendi*,29,CHW,524,1995,3.81,1276,63.8%,24.9%,15.8%,29.2%,30.1%,75.1%,0.0%,48.0%,78.9%,33.2%,4.6%,24,5,14.1%,74,29,9.5%,50,30,22,74,22.9%,0,0,0,beninan01
69,Will Benson*,26,CIN,388,1655,4.27,1031,62.2%,23.6%,29.9%,27.9%,18.6%,76.4%,0.0%,47.6%,60.9%,36.3%,3.1%,12,0,13.1%,51,31,7.5%,29,14,32,122,20.8%,0,0,0,bensowi01
70,Steward Berroa#,25,TOR,45,183,4.07,107,58.5%,35.5%,17.8%,25.2%,21.5%,64.5%,0.0%,37.7%,72.5%,22.2%,11.1%,5,0,17.8%,8,2,6.7%,3,0,7,7,50.0%,0,0,0,berrost01
71,Jon Berti,34,NYY,74,271,3.66,168,62.0%,32.7%,11.9%,23.8%,31.5%,67.3%,0.0%,41.7%,82.3%,33.8%,1.4%,1,0,12.2%,9,5,8.1%,6,0,7,7,50.0%,0,0,0,bertijo01
72,Christian Bethancourt,32,TOT,147,516,3.51,369,71.5%,14.1%,27.1%,30.4%,28.5%,85.9%,0.0%,61.4%,68.5%,51.0%,1.4%,2,0,8.8%,13,9,3.4%,5,3,5,31,13.9%,0,0,0,bethach01
73,Christian Bethancourt,32,MIA,88,320,3.64,227,70.9%,13.7%,27.3%,31.7%,27.3%,86.3%,0.0%,61.3%,68.4%,46.6%,2.3%,2,0,11.4%,10,7,3.4%,3,1,3,19,13.6%,0,0,0,bethach01
74,Christian Bethancourt,32,CHC,59,196,3.32,142,72.4%,14.8%,26.8%,28.2%,30.3%,85.2%,0.0%,61.7%,68.6%,57.6%,0.0%,0,0,5.1%,3,2,3.4%,2,2,2,12,14.3%,0,0,0,bethach01
75,Mookie Betts,31,LAD,517,2047,3.96,1236,60.2%,33.2%,10.0%,24.8%,32.1%,66.8%,0.0%,40.4%,85.1%,22.2%,5.0%,26,0,15.7%,81,36,12.0%,62,28,17,40,29.8%,0,0,0,bettsmo01
76,Bo Bichette,26,TOR,336,1186,3.53,810,67.9%,17.3%,18.1%,33.7%,30.7%,82.6%,0.0%,56.4%,77.9%,42.9%,2.7%,9,1,10.1%,34,22,4.8%,16,8,13,51,20.3%,0,0,0,bichebo01
77,Cavan Biggio*,29,TOT,224,955,4.26,593,62.0%,38.4%,14.7%,26.6%,20.2%,61.6%,0.0%,38.2%,76.2%,26.3%,3.6%,8,0,12.9%,29,10,10.7%,24,10,38,34,52.8%,0,0,0,biggica01
78,Cavan Biggio*,29,TOT,93,419,4.51,260,61.9%,34.6%,16.2%,29.6%,19.6%,65.4%,0.0%,40.6%,75.3%,29.0%,1.1%,1,0,9.7%,9,5,9.7%,9,5,16,14,53.3%,0,0,0,biggica01
79,Cavan Biggio*,29,TOR,131,536,4.09,333,62.1%,41.4%,13.5%,24.3%,20.7%,58.6%,0.0%,36.4%,76.9%,24.4%,5.3%,7,0,15.3%,20,5,11.5%,15,5,22,20,52.4%,0,0,0,biggica01
80,Cavan Biggio*,29,LAD,88,397,4.51,245,61.6%,35.1%,15.9%,29.4%,19.6%,64.9%,0.0%,40.1%,75.5%,28.4%,1.1%,1,0,10.2%,9,5,10.2%,9,5,15,13,53.6%,0,0,0,biggica01
81,Cavan Biggio*,29,ATL,5,22,4.40,15,68.2%,26.7%,20.0%,33.3%,20.0%,73.3%,0.0%,50.0%,72.7%,40.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,1,50.0%,0,0,0,biggica01
82,Tyler Black*,23,MIL,57,239,4.19,147,61.5%,29.9%,17.0%,31.3%,21.8%,70.1%,0.0%,43.1%,75.7%,28.1%,1.8%,1,0,10.5%,6,3,8.8%,5,2,9,8,52.9%,0,0,0,blackty01
83,Charlie Blackmon*,37,COL,501,1920,3.83,1242,64.3%,25.7%,14.3%,30.6%,29.3%,74.2%,0.0%,48.0%,80.6%,25.5%,4.4%,22,4,11.4%,57,19,7.2%,36,22,18,68,20.9%,0,0,0,blackch02
84,Dairon Blanco,31,KCR,132,460,3.48,299,65.0%,19.4%,26.4%,23.7%,30.4%,80.6%,0.0%,52.4%,67.2%,40.2%,4.5%,6,0,11.4%,15,7,4.5%,6,4,8,24,25.0%,0,0,0,blancda02
85,Travis Blankenhorn*,27,WSN,32,122,3.81,84,68.9%,23.8%,19.0%,31.0%,26.2%,76.2%,0.0%,52.5%,75.0%,37.5%,3.1%,1,0,15.6%,5,3,3.1%,1,0,2,7,22.2%,0,0,0,blanktr01
86,JJ Bleday*,26,OAK,644,2483,3.86,1534,61.5%,26.6%,19.2%,25.0%,29.2%,73.3%,0.0%,45.3%,73.8%,33.9%,5.0%,32,3,14.1%,91,25,9.8%,63,23,29,96,23.2%,0,0,0,bledajj01
87,Ryan Bliss,24,SEA,71,259,3.65,167,64.2%,19.8%,26.3%,28.1%,25.7%,80.2%,0.0%,51.7%,67.2%,54.9%,4.2%,3,0,11.3%,8,2,8.5%,6,4,6,16,27.3%,0,0,0,blissry01
88,Xander Bogaerts,31,SDP,463,1791,3.87,1187,66.2%,33.2%,12.2%,24.5%,29.9%,66.6%,0.0%,44.2%,81.5%,21.4%,3.5%,16,0,12.5%,58,13,8.9%,41,17,21,57,26.9%,0,0,0,bogaexa01
89,Alec Bohm,27,PHI,607,2122,3.50,1361,63.9%,22.6%,13.7%,28.9%,34.8%,77.4%,0.0%,49.7%,82.4%,37.7%,4.1%,25,0,14.0%,85,46,6.4%,39,23,26,60,30.2%,0,0,0,bohmal01
90,David Bote,31,CHC,48,162,3.38,117,72.2%,20.5%,26.5%,24.8%,28.2%,79.5%,0.0%,57.4%,66.7%,43.8%,0.0%,0,0,6.3%,3,2,2.1%,1,0,3,10,23.1%,0,0,0,boteda01
91,Sean Bouchard,28,COL,108,431,3.99,270,62.5%,30.7%,23.3%,23.3%,22.6%,69.3%,0.0%,43.4%,66.3%,32.4%,3.7%,4,0,10.2%,11,4,9.3%,10,7,11,22,33.3%,0,0,0,bouchse01
92,Rob Brantly*,34,TBR,9,34,3.78,25,73.5%,12.0%,20.0%,40.0%,28.0%,88.0%,0.0%,64.7%,77.3%,44.4%,0.0%,0,0,11.1%,1,1,0.0%,0,0,0,2,0.0%,0,0,0,brantro01
93,Alex Bregman,30,HOU,637,2393,3.76,1526,63.7%,29.6%,9.0%,28.7%,32.7%,70.4%,0.0%,44.9%,87.2%,28.3%,4.9%,31,6,12.9%,82,27,8.2%,52,24,21,65,24.4%,0,0,0,bregmal01
94,Will Brennan*,26,CLE,354,1230,3.47,835,67.5%,19.3%,14.6%,32.2%,33.9%,80.7%,0.0%,54.8%,81.9%,40.7%,3.1%,11,0,13.3%,47,28,6.8%,24,12,9,39,18.8%,0,0,0,brennwi02
95,Jonah Bride,28,MIA,273,1157,4.24,726,62.5%,39.1%,10.2%,25.3%,25.3%,60.9%,0.0%,38.2%,83.3%,16.5%,3.7%,10,0,11.4%,31,7,8.4%,23,10,17,38,30.9%,0,0,0,bridejo01
96,Trenton Brooks*,28,SFG,29,110,3.79,67,59.8%,26.9%,19.4%,22.4%,28.4%,70.1%,0.0%,42.7%,69.4%,27.6%,6.9%,2,0,10.3%,3,1,20.7%,6,2,0,6,0.0%,0,0,0,brooktr01
97,Seth Brown*,31,OAK,402,1552,3.86,1007,64.8%,19.9%,23.3%,30.9%,25.9%,80.1%,0.0%,52.0%,70.9%,36.8%,4.5%,18,4,11.9%,48,24,6.7%,27,17,21,91,18.8%,0,0,0,brownse01
98,Vidal Bruján#,26,MIA,278,1055,3.79,689,64.5%,20.3%,19.4%,31.9%,28.3%,79.7%,0.0%,52.0%,75.6%,43.5%,4.0%,11,0,12.2%,34,14,7.6%,21,11,16,38,29.6%,0,0,0,brujavi01
99,Kris Bryant,32,COL,155,608,3.92,391,64.3%,25.8%,27.4%,24.8%,22.0%,74.2%,0.0%,47.7%,63.1%,27.7%,3.9%,6,0,11.0%,17,8,5.8%,9,7,7,41,14.6%,0,0,0,bryankr01
100,Jake Burger,28,MIA,579,2081,3.59,1407,67.4%,22.5%,23.3%,26.5%,27.6%,77.5%,0.0%,52.4%,69.9%,40.9%,3.8%,22,5,9.7%,56,21,6.4%,37,22,31,119,20.7%,0,0,0,burgeja01
101,Alec Burleson*,25,STL,595,2117,3.56,1428,67.4%,17.4%,15.9%,33.1%,33.6%,82.6%,0.0%,55.7%,80.8%,42.5%,2.7%,16,0,11.9%,71,42,5.2%,31,15,12,64,15.8%,0,0,0,burleal01
102,Michael Busch*,26,CHC,568,2365,4.16,1444,61.0%,26.0%,21.0%,29.6%,23.4%,74.0%,0.0%,45.2%,71.6%,32.0%,4.2%,24,2,13.4%,76,36,9.2%,52,37,54,108,33.3%,0,0,0,buschmi02
103,Lawrence Butler*,23,OAK,451,1815,4.02,1154,63.5%,25.0%,20.2%,28.2%,26.7%,75.0%,0.0%,47.7%,73.1%,32.2%,4.0%,18,2,17.1%,77,43,10.2%,46,27,31,77,28.7%,0,0,0,butlela01
104,Byron Buxton,30,MIN,388,1458,3.76,962,65.8%,18.1%,26.3%,28.8%,26.8%,81.9%,0.0%,54.0%,67.9%,45.1%,2.3%,9,5,10.3%,40,23,5.2%,20,15,20,79,20.2%,0,0,0,buxtoby01
105,José Caballero,27,TBR,484,1894,3.91,1287,67.7%,26.4%,21.3%,27.9%,24.4%,73.6%,0.0%,50.0%,71.1%,35.7%,1.7%,8,0,11.0%,53,31,7.2%,35,19,25,108,18.8%,0,0,0,cabaljo01
106,Trey Cabbage*,27,HOU,91,336,3.69,218,64.9%,18.8%,33.0%,24.3%,23.9%,81.2%,0.0%,52.7%,59.3%,49.5%,6.6%,6,2,9.9%,9,2,4.4%,4,4,9,25,26.5%,0,0,0,cabbatr01
107,Oswaldo Cabrera#,25,NYY,327,1267,3.87,822,64.8%,26.0%,13.9%,30.5%,29.3%,73.7%,0.0%,47.8%,80.9%,22.0%,4.0%,13,0,14.7%,48,31,8.0%,26,14,15,46,24.6%,0,0,0,cabreos01
108,Willie Calhoun*,29,LAA,255,958,3.76,589,61.2%,28.9%,9.3%,27.8%,33.8%,71.0%,0.0%,43.6%,86.6%,25.1%,4.3%,11,0,15.3%,39,9,11.8%,30,14,7,24,22.6%,0,0,0,calhowi01
109,Alex Call,29,WSN,114,493,4.32,307,62.3%,30.6%,13.0%,30.3%,26.1%,69.4%,0.0%,43.2%,81.2%,26.3%,3.5%,4,0,11.4%,13,4,7.9%,9,3,3,16,15.8%,0,0,0,callal02
